,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
132,167.0,17.0,26.0,60.68,1.65,-1.2,300.0,1.65,1.8,750.0,12700.0,75.0,3592.9,3923.85,75.0,0,0,0,0,0,0
133,77.0,36.0,160.0,63.08,2.3,-0.1,75.0,2.0,2.5,150.0,12750.0,9900.0,3105.75,4196.3,9900.0,0,0,0,0,0,0
134,278.0,18.0,34.0,63.41,2.05,0.4,75.0,1.75,2.05,75.0,12800.0,75.0,3688.1,4099.55,75.0,0,0,0,0,0,0
135,0,0,0,0,0,0,900.0,0.1,25.35,9900.0,12850.0,9900.0,3193.0,4378.7,9900.0,0,0,0,0,0,0
136,127.0,-9.0,31.0,64.53,2.0,-0.15,75.0,1.45,1.9,225.0,12900.0,75.0,3874.3,4001.7,150.0,0,0,0,0,0,2.0
137,0,0,0,0,0,0,900.0,0.1,26.25,9900.0,12950.0,9900.0,3282.55,4434.9,9900.0,0,0,0,0,0,0
138,2837.0,18.0,484.0,64.88,1.65,-0.45,1200.0,1.65,1.8,75.0,13000.0,75.0,4047.8,4062.9,75.0,72.1,4031.05,92.38,90.0,-9.0,1207.0
139,0,0,0,0,0,0,900.0,0.1,25.25,9900.0,13050.0,9900.0,2850.4,4540.25,9900.0,0,0,0,0,0,0
140,87.0,0,0,0,0,0,300.0,1.1,2.05,1500.0,13100.0,9900.0,3417.45,4581.95,9900.0,0,0,0,0,0,0
141,0,0,0,0,0,0,3600.0,0.2,25.45,9900.0,13150.0,9900.0,2950.4,4658.55,9900.0,0,0,0,0,0,0
142,0,0,0,0,0,0,2400.0,0.25,2.95,225.0,13200.0,9900.0,3000.4,4689.95,9900.0,0,0,0,0,0,0
143,0,0,0,0,0,0,3600.0,0.2,42.0,3000.0,13250.0,9900.0,3550.2,4775.75,9900.0,0,0,0,0,0,0
144,13.0,2.0,2.0,69.73,2.05,-0.9,75.0,0.7,2.0,150.0,13300.0,75.0,4152.85,4725.8,75.0,0,0,0,0,0,0
145,0,0,0,0,0,0,3600.0,0.2,38.0,3000.0,13350.0,9900.0,3150.4,4890.25,9900.0,0,0,0,0,0,0
146,0,0,0,0,0,0,3600.0,0.2,2.95,225.0,13400.0,9900.0,3200.4,4906.6,9900.0,0,0,0,0,0,0
147,0,0,0,0,0,0,3600.0,0.2,35.0,3000.0,13450.0,9900.0,3728.7,5007.85,9900.0,0,0,0,0,0,0
148,2117.0,4.0,190.0,69.67,1.45,-0.55,1275.0,1.45,1.5,150.0,13500.0,75.0,4536.7,4562.5,150.0,-155.9,4360.0,112.16,3.0,0,1435.0
149,0,0,0,0,0,0,3600.0,0.2,30.0,3000.0,13550.0,9900.0,3818.05,5130.1,9900.0,0,0,0,0,0,0
150,0,0,0,0,0,0,3600.0,0.2,2.95,225.0,13600.0,150.0,4638.45,4696.0,150.0,0,0,0,0,0,0
151,0,0,0,0,0,0,3600.0,0.2,27.5,3000.0,13650.0,9900.0,3907.35,5248.95,9900.0,0,0,0,0,0,0
152,36.0,12.0,12.0,72.7,1.6,-0.4,75.0,1.5,1.8,225.0,13700.0,150.0,4734.05,4794.0,150.0,0,0,0,0,0,0
